user_id,segment_operation,order_count,total_amount,days_since_order,priority,estimated_response_rate,action
U002814,至尊VIP,1,6360.11,21,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U002376,至尊VIP,1,5125.41,184,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U007043,至尊VIP,1,5053.45,142,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U004539,至尊VIP,1,5002.49,489,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U005897,至尊VIP,2,4998.42,104,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U003794,至尊VIP,1,4995.83,30,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U004906,至尊VIP,2,4910.55,72,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U000386,至尊VIP,1,4799.94,5,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U006311,至尊VIP,2,4534.00,188,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U000778,至尊VIP,1,4283.43,271,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U002508,至尊VIP,1,4140.43,13,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U006295,至尊VIP,1,4106.99,457,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U009032,至尊VIP,2,4071.59,48,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U003814,至尊VIP,1,3954.50,362,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U005269,至尊VIP,2,3951.28,347,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U002662,至尊VIP,1,3949.42,516,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U005273,至尊VIP,1,3938.88,37,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U003723,至尊VIP,1,3895.50,6,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U004129,至尊VIP,1,3867.93,168,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U008212,至尊VIP,1,3803.31,36,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U005618,至尊VIP,2,3796.19,345,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U006318,至尊VIP,1,3755.22,172,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U006097,至尊VIP,1,3700.06,333,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U000245,至尊VIP,1,3613.40,133,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U004941,至尊VIP,1,3598.59,394,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U004810,至尊VIP,1,3590.85,188,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U001465,至尊VIP,1,3552.96,20,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U003335,至尊VIP,1,3522.84,150,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U004594,至尊VIP,2,3515.69,181,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U004988,至尊VIP,2,3439.95,310,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U006874,至尊VIP,2,3419.33,92,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U001687,至尊VIP,1,3418.84,111,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U005608,至尊VIP,2,3372.27,240,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U002104,至尊VIP,2,3359.48,384,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U002142,至尊VIP,1,3350.08,432,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U004345,至尊VIP,1,3330.56,280,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U006341,至尊VIP,1,3316.35,65,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U006904,至尊VIP,2,3261.73,145,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U008784,至尊VIP,2,3256.72,13,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U000097,至尊VIP,2,3249.81,341,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U008184,至尊VIP,2,3246.50,23,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U000217,至尊VIP,2,3227.06,107,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U007587,至尊VIP,2,3221.68,186,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U007286,至尊VIP,2,3166.39,47,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U003209,至尊VIP,2,3109.33,178,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U009854,至尊VIP,1,3105.54,346,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U004782,至尊VIP,1,3090.20,116,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U007167,至尊VIP,1,3059.58,573,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U005806,至尊VIP,1,3037.86,495,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U004627,至尊VIP,1,3006.20,12,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
U000085,至尊VIP,1,3003.15,612,0,0.40,P0-新品电子首发通知+品牌日专属折扣+专属客服
