user_id,segment_operation,segment_19,order_count,total_amount,days_since_order,r_score,f_score,m_score,is_vip
U000003,核心高价值忠诚用户,活跃-复购-高价值,2,1126.73,25,1,2,3,0
U000010,流失低潜,流失-一次性-中价值,1,247.20,199,3,1,2,0
U000019,唤醒普通,唤醒-一次性-中价值,1,303.73,103,2,1,2,0
U000022,流失低潜,流失-一次性-高价值,1,1097.97,415,3,1,3,0
U000031,流失低潜,流失-一次性-高价值,1,1104.67,569,3,1,3,0
U000037,唤醒普通,唤醒-一次性-中价值,1,405.87,160,2,1,2,0
U000038,流失可弃,流失-一次性-低价值,1,27.24,313,3,1,1,0
U000044,普通新客,活跃-一次性-中价值,1,139.64,21,1,1,2,0
U000066,普通新客,活跃-一次性-低价值,1,77.06,60,1,1,1,0
U000078,高潜新客,活跃-一次性-高价值,1,956.29,42,1,1,3,0
U000082,至尊VIP,至尊VIP,1,2302.94,143,2,1,3,1
U000083,流失低潜,流失-一次性-中价值,1,809.67,359,3,1,2,0
U000085,至尊VIP,至尊VIP,1,3003.15,612,3,1,3,1
U000086,唤醒普通,唤醒-一次性-低价值,1,30.81,129,2,1,1,0
U000087,流失低潜,流失-一次性-中价值,1,219.54,280,3,1,2,0
U000097,至尊VIP,至尊VIP,2,3249.81,341,3,2,3,1
U000102,唤醒普通,唤醒-一次性-中价值,1,256.19,124,2,1,2,0
U000107,唤醒普通,唤醒-一次性-低价值,1,42.45,121,2,1,1,0
U000111,流失低潜,流失-一次性-中价值,1,698.65,269,3,1,2,0
U000123,流失低潜,流失-一次性-中价值,1,766.52,652,3,1,2,0
U000127,唤醒普通,唤醒-一次性-中价值,1,431.38,78,2,1,2,0
U000137,普通新客,活跃-一次性-低价值,1,109.16,32,1,1,1,0
U000141,普通新客,活跃-一次性-中价值,1,226.24,47,1,1,2,0
U000149,唤醒普通,唤醒-一次性-低价值,1,102.84,173,2,1,1,0
U000154,唤醒普通,唤醒-一次性-高价值,1,1203.06,89,2,1,3,0
U000156,流失可弃,流失-一次性-低价值,1,41.57,297,3,1,1,0
U000160,流失低潜,流失-一次性-高价值,1,1152.27,233,3,1,3,0
U000161,唤醒高潜,唤醒-复购-高价值,2,1239.37,76,2,2,3,0
U000166,唤醒普通,唤醒-一次性-低价值,1,113.67,64,2,1,1,0
U000167,流失低潜,流失-一次性-高价值,1,1324.11,547,3,1,3,0
U000168,流失低潜,流失-一次性-中价值,1,284.43,416,3,1,2,0
U000169,流失低潜,流失-一次性-中价值,1,831.94,251,3,1,2,0
U000172,唤醒普通,唤醒-一次性-低价值,1,68.37,79,2,1,1,0
U000180,流失可弃,流失-一次性-低价值,1,43.35,239,3,1,1,0
U000183,至尊VIP,至尊VIP,2,2527.91,84,2,2,3,1
U000188,唤醒高潜,唤醒-复购-高价值,2,1185.99,67,2,2,3,0
U000192,核心高价值忠诚用户,活跃-复购-高价值,2,1057.24,18,1,2,3,0
U000204,普通新客,活跃-一次性-中价值,1,516.84,40,1,1,2,0
U000215,流失可弃,流失-一次性-低价值,1,70.68,233,3,1,1,0
U000217,至尊VIP,至尊VIP,2,3227.06,107,2,2,3,1
U000218,普通新客,活跃-一次性-中价值,1,495.01,46,1,1,2,0
U000219,唤醒普通,唤醒-一次性-中价值,1,458.25,97,2,1,2,0
U000220,流失低潜,流失-一次性-中价值,1,623.72,573,3,1,2,0
U000232,普通新客,活跃-一次性-低价值,1,83.72,9,1,1,1,0
U000242,流失低潜,流失-一次性-高价值,1,877.82,402,3,1,3,0
U000245,至尊VIP,至尊VIP,1,3613.40,133,2,1,3,1
U000250,流失可弃,流失-一次性-低价值,1,124.97,245,3,1,1,0
U000253,流失低潜,流失-一次性-中价值,1,464.85,226,3,1,2,0
U000255,唤醒普通,唤醒-一次性-中价值,1,301.93,147,2,1,2,0
U000261,唤醒普通,唤醒-一次性-中价值,1,861.61,141,2,1,2,0
U000264,活跃复购潜力用户,活跃-复购-中价值,2,322.87,23,1,2,2,0
U000276,流失低潜,流失-一次性-高价值,1,1229.16,225,3,1,3,0
U000299,活跃复购潜力用户,活跃-复购-中价值,2,272.03,8,1,2,2,0
U000302,唤醒普通,唤醒-一次性-中价值,1,676.95,136,2,1,2,0
U000303,普通新客,活跃-一次性-低价值,1,33.17,29,1,1,1,0
U000307,唤醒普通,唤醒-一次性-中价值,1,534.09,82,2,1,2,0
U000309,唤醒普通,唤醒-一次性-中价值,1,165.40,116,2,1,2,0
U000311,流失可弃,流失-一次性-低价值,1,118.80,314,3,1,1,0
