segment_operation,user_count,total_revenue,avg_revenue,avg_order_count,avg_recency
流失低潜,539,314988.23,584.393748,1.0130,348.3006
唤醒普通,455,202936.57,446.014440,1.0132,116.8747
流失可弃,226,14254.77,63.074204,1.0000,340.5841
普通新客,216,62492.80,289.318519,1.0000,30.7778
至尊VIP,130,386812.21,2975.478538,1.3077,221.1923
唤醒高潜,75,70861.00,944.813333,2.0800,117.5733
流失高潜用户,64,49955.66,780.557188,2.0625,305.5781
高潜新客,59,72300.19,1225.426949,1.0000,29.9661
活跃复购潜力用户,23,10294.84,447.601739,2.0435,22.5217
核心高价值忠诚用户,16,21579.04,1348.690000,2.1875,30.3125
