user_id,gender,city,segment_operation
U000003,Male,Curtisfurt,核心高价值忠诚用户
U000010,Male,Jamesmouth,流失低潜
U000019,Male,South Jessicaville,唤醒普通
U000022,Other,Mitchellside,流失低潜
U000031,Female,New Barry,流失低潜
U000037,Male,Reedmouth,唤醒普通
U000038,Other,West Ryan,流失可弃
U000044,Female,Robinsonhaven,普通新客
U000066,Male,Garciatown,普通新客
U000078,Female,Cindyfort,高潜新客
U000082,Female,Sarahhaven,至尊VIP
U000083,Female,Reedside,流失低潜
U000085,Other,South Tammie,至尊VIP
U000086,Female,Smithberg,唤醒普通
U000087,Other,Santosmouth,流失低潜
U000097,Male,Coffeyport,至尊VIP
U000102,Other,Penafort,唤醒普通
U000107,Male,South Shanestad,唤醒普通
U000111,Female,Mariafurt,流失低潜
U000123,Female,Richardbury,流失低潜
U000127,Male,Laurashire,唤醒普通
U000137,Female,West Erika,普通新客
U000141,Female,Laceyberg,普通新客
U000149,Female,Sarahhaven,唤醒普通
U000154,Other,Lake Danastad,唤醒普通
U000156,Other,Hinesshire,流失可弃
U000160,Other,Port Michael,流失低潜
U000161,Other,Tannerside,唤醒高潜
U000166,Other,Meganshire,唤醒普通
U000167,Female,South Pamelaside,流失低潜
U000168,Male,East Scottfort,流失低潜
U000169,Female,Zacharyville,流失低潜
U000172,Female,Brandonport,唤醒普通
U000180,Male,South Warren,流失可弃
U000183,Other,Annview,至尊VIP
U000188,Female,East Robertburgh,唤醒高潜
U000192,Male,Morrisbury,核心高价值忠诚用户
U000204,Male,North Craig,普通新客
U000215,Male,South Ashley,流失可弃
U000217,Other,Port Adamberg,至尊VIP
U000218,Other,Hopkinstown,普通新客
U000219,Female,Drakeburgh,唤醒普通
U000220,Male,Lauraland,流失低潜
U000232,Other,Sherylfort,普通新客
U000242,Male,Matthewborough,流失低潜
U000245,Male,South Brittany,至尊VIP
U000250,Male,West Megan,流失可弃
U000253,Female,West Kimberlystad,流失低潜
U000255,Other,Port Joan,唤醒普通
U000261,Other,Melissaside,唤醒普通
U000264,Other,Erikview,活跃复购潜力用户
U000276,Female,East Christopherchester,流失低潜
U000299,Female,North Paula,活跃复购潜力用户
U000302,Female,New Stacy,唤醒普通
U000303,Other,New Jeffery,普通新客
U000307,Other,East Carriebury,唤醒普通
U000309,Male,West Jonathanville,唤醒普通
U000311,Male,Andrewview,流失可弃
U000317,Male,Anneberg,流失低潜
U000321,Female,Luisland,流失高潜用户
U000322,Female,Rodriguezberg,流失高潜用户
U000323,Female,Mikaylastad,流失可弃
U000332,Male,East Johnnyport,流失低潜
U000337,Other,Jessicabury,流失低潜
U000338,Other,Connorberg,普通新客
U000367,Male,Port Jennifer,唤醒普通
U000368,Female,Summersborough,唤醒高潜
U000371,Other,West Raymond,普通新客
U000372,Other,Meganside,唤醒普通
U000375,Male,East Josephburgh,流失高潜用户
U000379,Male,West Shane,高潜新客
U000384,Other,Moonville,流失低潜
U000386,Female,Port Gina,至尊VIP
U000391,Other,West Erica,唤醒普通
U000394,Male,Newmanland,流失低潜
U000396,Male,Lindseychester,唤醒普通
U000397,Other,Nataliemouth,流失可弃
U000412,Other,Serranoville,流失低潜
U000429,Male,Jefferyshire,唤醒普通
U000435,Female,Haynesstad,唤醒普通
U000436,Other,Lindaside,至尊VIP
U000437,Female,Taylorhaven,流失可弃
U000441,Other,Stevenberg,流失低潜
